date,vix_close,vix_ret1d,vix_ret5d,vix9d_close,vix9d_ret1d,vix9d_ret5d,vix3m_close,vix3m_ret1d,vix3m_ret5d,spy_close,spy_ret1d,spy_ret5d,qqq_close,qqq_ret1d,qqq_ret5d,iwm_close,iwm_ret1d,iwm_ret5d,tlt_close,tlt_ret1d,tlt_ret5d,tnx_close,tnx_ret1d,tnx_ret5d,uup_close,uup_ret1d,uup_ret5d,gld_close,gld_ret1d,gld_ret5d,vix_term_spread,vix_backwardation,vix_above20,vix_above30,spy_golden_cross,spy_price_vs_ma200,spy_pcr_vol,spy_gex_call,spy_gex_put,spy_gex,qqq_gex_call,qqq_gex_put,qqq_gex,iwm_gex_call,iwm_gex_put,iwm_gex,sec_tech_ret1d,sec_tech_ret5d,sec_fin_ret1d,sec_fin_ret5d,sec_health_ret1d,sec_health_ret5d,sec_energy_ret1d,sec_energy_ret5d,sec_indus_ret1d,sec_indus_ret5d,sec_cons_disc_ret1d,sec_cons_disc_ret5d,sec_cons_stap_ret1d,sec_cons_stap_ret5d,sec_util_ret1d,sec_util_ret5d,sec_material_ret1d,sec_material_ret5d,sec_realestate_ret1d,sec_realestate_ret5d,sec_comm_ret1d,sec_comm_ret5d,spy_gex_matched,spy_gex_band,spy_gex_oi_src,spy_gex_oi_cover,spy_gex_per_contract,qqq_gex_matched,qqq_gex_band,qqq_gex_oi_src,qqq_gex_oi_cover,qqq_gex_per_contract,iwm_gex_matched,iwm_gex_band,iwm_gex_oi_src,iwm_gex_oi_cover,iwm_gex_per_contract
2026-07-30,17.09,-17.28,-8.61,14.85,-11.87,-1.85,19.5,-5.06,-0.71,741.69,1.68,0.48,683.55,3.3,-1.22,292.59,1.39,0.17,82.8,-0.06,-0.44,4.663,0.89,-0.85,28.14,-0.99,-1.47,377.16,1.64,1.52,4.65,0,0,0,1,6.42,1.2118,8261723.46,12861025.75,-4599302.29,3846669.0,2391320.58,1455348.41,202261.32,42616.37,159644.95,5.5,-1.52,0.56,2.1,-1.64,1.29,0.53,-0.71,0.98,-1.95,0.7,3.34,-2.16,2.72,-0.56,-3.31,-0.19,2.68,-1.44,0.78,-2.68,1.14,592.0,30-45,yf+alpaca,1.0,-7769.0917,511.0,30-45,yf+alpaca,1.0,2848.0399,97.0,30-45,yf+alpaca,1.0,1645.8242
2026-07-31,15.99,-6.44,-13.94,13.05,-22.55,-13.75,19.02,-7.4,-3.16,747.03,0.72,1.1,687.99,0.65,0.55,291.2,-0.48,0.01,82.25,-0.66,-1.2,4.745,1.76,1.41,28.17,0.11,-1.43,371.54,-1.49,-0.1,5.97,0,0,0,1,7.12,1.0321,9821795.8,12440529.2,-2618733.4,3678973.96,3236134.24,442839.73,197437.19,44163.1,153274.09,-0.22,-0.3,-0.11,1.12,-0.59,-0.01,1.0,-0.12,0.81,-1.54,3.29,6.11,-0.49,1.09,-0.69,-4.19,-2.34,-1.62,-0.51,-1.92,1.56,1.83,588.0,30-45,yf+alpaca,1.0,-4453.6282,510.0,30-45,yf+alpaca,1.0,868.3132,97.0,30-45,yf+alpaca,1.0,1580.1452
2026-08-03,15.86,-0.81,-15.05,13.28,-21.19,-12.23,18.93,-7.84,-3.62,757.67,1.42,2.51,700.07,1.76,2.63,296.22,1.72,1.13,82.19,-0.07,-1.86,4.686,-1.24,0.97,28.17,0.0,-1.5,371.71,0.05,-0.78,5.65,0,0,0,1,8.56,0.909,3697646.16,927085.53,2770560.63,626748.11,270397.36,356350.75,346665.93,102355.61,244310.32,1.53,2.15,0.77,0.88,-0.19,-0.71,-1.28,0.74,1.85,-0.02,1.83,6.65,-0.22,-0.59,0.02,-2.89,1.15,-0.74,0.24,-1.27,2.86,3.42,480.0,30-45,yf+alpaca,1.0,5772.0013,560.0,30-45,yf+alpaca,1.0,636.3406,268.0,30-45,yf+alpaca,1.0,911.6057
2026-08-04,16.5,4.04,-9.39,15.04,-10.74,-0.59,19.34,-5.84,-1.53,771.33,1.8,4.11,723.85,3.4,7.16,301.71,1.85,2.84,82.82,0.77,-1.29,4.627,-1.26,0.5,28.16,-0.04,-1.47,374.16,0.66,1.3,4.3,0,0,0,1,10.43,0.468,25745286.66,20064564.55,5680722.12,16338637.3,11656945.76,4681691.54,4928935.51,4244321.9,684613.61,4.98,9.24,0.87,0.49,-0.09,-3.09,-0.46,1.65,1.77,2.14,0.07,5.17,0.6,-1.94,-0.56,-3.1,1.94,-0.65,-0.02,-1.83,0.63,2.16,983.0,30-45,yf+alpaca,1.0,5778.9645,943.0,30-45,yf+alpaca,1.0,4964.6782,425.0,30-45,yf+alpaca,1.0,1610.8556
2026-08-05,15.81,-4.18,-23.48,13.79,-18.16,-8.86,18.95,-7.74,-3.51,769.79,-0.2,5.53,717.3,-0.9,8.4,299.77,-0.64,3.88,83.0,0.22,0.58,4.617,-0.22,-0.11,28.09,-0.25,-1.16,389.64,4.14,5.0,5.16,0,0,0,1,10.12,0.6283,28089300.31,22416068.11,5673232.2,17544186.28,13154667.35,4389518.93,5463939.73,5704456.69,-240516.95,-0.53,11.61,0.21,2.33,1.27,-1.25,-2.07,-2.28,-0.03,5.49,0.3,6.3,-0.05,-2.32,-1.02,-2.78,1.23,1.74,0.07,-1.65,-1.04,1.24,992.0,30-45,yf+alpaca,1.0,5718.9841,945.0,30-45,yf+alpaca,1.0,4644.9936,432.0,30-45,yf+alpaca,1.0,-556.7522
2026-08-06,15.15,-4.17,-11.35,12.66,-24.87,-16.33,18.69,-9.01,-4.84,768.56,-0.16,3.62,714.65,-0.37,4.55,298.25,-0.51,1.93,82.52,-0.58,0.06,4.67,1.15,0.15,28.19,0.36,0.18,389.67,0.01,3.32,6.03,0,0,0,1,9.86,1.2642,24607039.78,24462626.28,144413.49,16248129.81,13060208.17,3187921.64,4928001.35,5997858.25,-1069856.9,-0.31,5.46,-0.33,1.42,0.18,0.57,1.48,-1.36,-0.85,3.57,-0.46,5.08,-0.26,-0.42,-0.64,-2.87,-0.89,1.03,-0.86,-1.08,0.28,4.32,697.0,30-45,yf+alpaca,1.0,207.193,530.0,30-45,yf+alpaca,1.0,6014.9465,261.0,30-45,yf+alpaca,1.0,-4099.0686
2026-08-07,14.9,-1.65,-6.82,11.96,-29.02,-20.95,18.72,-8.86,-4.68,773.26,0.61,3.51,723.03,1.17,5.09,301.56,1.11,3.56,82.76,0.29,1.03,4.66,-0.21,-1.79,28.07,-0.43,-0.35,398.47,2.26,7.25,6.76,0,0,0,1,10.45,0.9596,27648967.51,23019821.37,4629146.14,17048337.65,13059567.14,3988770.52,5062380.91,5331067.7,-268686.79,1.42,7.2,-0.36,1.16,0.75,1.93,-1.13,-3.44,0.23,2.97,1.49,3.25,0.01,0.08,0.53,-1.67,1.32,4.82,0.38,-0.2,0.06,2.78,689.0,30-45,yf+alpaca,1.0,6718.6446,551.0,30-45,yf+alpaca,1.0,7239.1479,244.0,30-45,yf+alpaca,1.0,-1101.1754
2026-08-10,15.46,3.76,-2.52,12.77,-24.21,-15.6,18.98,-7.59,-3.36,773.03,-0.03,2.03,720.87,-0.3,2.97,299.98,-0.52,1.27,82.06,-0.85,-0.16,4.699,0.84,0.28,28.14,0.25,-0.11,402.54,1.02,8.29,6.21,0,0,0,1,10.33,1.0304,28017606.78,25366149.87,2651456.9,17166543.23,14406774.4,2759768.83,5423092.47,6372332.42,-949239.95,-0.88,4.65,0.36,0.75,1.67,3.82,4.66,2.36,-0.31,0.79,-0.16,1.24,-0.2,0.11,-1.1,-2.77,0.61,4.25,-1.29,-1.73,0.52,0.44,802.0,30-45,yf+alpaca,1.0,3306.056,678.0,30-45,yf+alpaca,1.0,4070.4555,319.0,30-45,yf+alpaca,1.0,-2975.6738
2026-08-11,15.28,-1.16,-7.39,12.52,-25.7,-17.25,18.91,-7.94,-3.72,770.56,-0.32,-0.1,718.45,-0.34,-0.75,300.99,0.34,-0.24,82.19,0.16,-0.76,4.684,-0.32,1.23,28.14,0.0,-0.07,400.96,-0.39,7.16,6.39,0,0,0,1,9.89,1.1308,29221236.9,28670721.49,550515.41,18528292.76,15554002.76,2974290.0,5549580.5,6168329.09,-618748.58,-0.12,-0.43,-0.02,-0.14,-0.26,3.65,1.25,4.12,0.6,-0.38,-0.36,0.8,-0.31,-0.8,1.16,-1.09,0.11,2.38,-0.72,-2.41,-0.5,-0.69,943.0,30-45,yf+alpaca,1.0,583.7915,821.0,30-45,yf+alpaca,1.0,3622.7649,381.0,30-45,yf+alpaca,1.0,-1624.012
2026-08-12,14.55,-4.78,-7.97,11.09,,,18.53,,,772.49,0.25,0.35,723.7,0.73,0.89,302.71,0.57,0.98,82.11,-0.1,-1.07,4.682,-0.04,1.41,28.2,0.21,0.39,404.92,0.99,3.92,7.44,0,0,0,1,10.08,1.1243,30645928.13,29286957.17,1358970.95,19188844.37,15871605.92,3317238.45,6115939.27,6303194.66,-187255.4,1.49,1.59,0.21,-0.14,0.26,2.61,0.16,6.49,0.1,-0.25,-1.13,-0.63,0.46,-0.29,0.48,0.41,-1.24,-0.11,0.93,-1.57,-0.9,-0.54,945.0,30-45,yf+alpaca,1.0,1438.0645,830.0,30-45,yf+alpaca,1.0,3996.6728,380.0,30-45,yf+alpaca,1.0,-492.7774
2026-08-13,14.63,0.55,-3.43,11.37,-32.52,-24.85,18.61,-9.4,-5.24,777.88,0.7,1.21,732.07,1.16,2.44,303.5,0.26,1.76,82.59,0.58,0.08,4.641,-0.88,-0.62,28.18,-0.07,-0.04,398.96,-1.47,2.38,7.24,0,0,0,1,10.77,0.7771,29706149.18,25301865.63,4404283.56,19999121.48,13214360.24,6784761.24,6745101.7,6206842.21,538259.5,1.01,2.94,0.59,0.78,-0.04,2.39,0.05,4.99,-0.05,0.56,0.48,0.3,1.08,1.05,0.46,1.52,-0.51,0.27,1.42,0.69,2.07,1.23,635.0,30-45,yf+alpaca,1.0,6935.8796,519.0,30-45,yf+alpaca,1.0,13072.7577,236.0,30-45,yf+alpaca,1.0,2280.7606
2026-08-14,14.25,-2.6,-4.36,10.61,-37.03,-29.87,18.46,-10.13,-6.01,776.34,-0.2,0.4,731.07,-0.14,1.11,305.09,0.52,1.17,82.04,-0.67,-0.87,4.696,1.19,0.77,28.11,-0.25,0.14,401.48,0.63,0.76,7.85,0,0,0,1,10.47,1.0653,30866977.66,27194712.47,3672265.19,21072922.31,14083733.39,6989188.92,7273460.42,6579280.42,694180.0,-0.4,1.09,-0.17,0.97,-0.6,1.02,1.39,7.67,0.39,0.72,-0.21,-1.38,0.1,1.14,0.61,1.61,0.44,-0.61,0.33,0.64,0.36,1.53,642.0,30-45,yf+alpaca,1.0,5720.0392,512.0,30-45,yf+alpaca,1.0,13650.7596,230.0,30-45,yf+alpaca,1.0,3018.1739
